customer_id,first_name,last_name,email,signup_date,country,loyalty_tier
C0001,Tom,Khan,tom.khan1@outlook.com,2023-05-17,US,Gold
C0002,Elena,Khan,elena.khan2@gmail.com,2022-07-11,AE,gold
C0003,Zoe,Lopez,zoe.lopez3@yahoo.com,08-07-2024,US,silver
C0004,Liam,Ahmed,liam.ahmed4@yahoo.com,03/17/2023,CA,gold
C0005,Priya,Silva,priya.silva5@outlook.com,30-03-2022,US,
C0006,Grace,Silva,grace.silva6@outlook.com,2025-03-28,US,silver
C0007,Sara,Chen,sara.chen0@gmail.com,02/18/2024,UK,silver
C0008,Carlos,Ahmed,carlos.ahmed1@gmail.com,17-12-2022,BD,
C0009,Zoe,Chen,zoe.chen2@outlook.com,2022-04-25,UK,
C0010,Carlos,Silva,carlos.silva3@outlook.com,12-03-2023,,
C0011,Wei,Chen,wei.chen4@outlook.com,04/12/2025,CA,bronze
C0012,Wei,Novak,wei.novak5@corp.com,2022-07-06,BD,silver
C0013,Elena,Silva,elena.silva6@gmail.com,02/28/2024,CA,Gold
C0014,Zoe,Khan,zoe.khan0@gmail.com,01/04/2025,UK,gold
C0015,Fatima,Rahman,fatima.rahman1@gmail.com,24-06-2023,AE,gold
C0016,Grace,Novak,grace.novak2@yahoo.com,11/10/2022,AE,Gold
C0017,Ava,Garcia,ava.garcia3@corp.com,2022-02-09,UK,silver
C0018,Hassan,Islam,hassan.islam4@gmail.com,2024-09-22,AE,silver
C0019,Mei,Novak,mei.novak5@yahoo.com,27-06-2023,CA,silver
C0020,Carlos,Ahmed,carlos.ahmed6@corp.com,02/04/2024,CA,gold
C0021,Sara,Garcia,sara.garcia0@gmail.com,2025-02-08,US,gold
C0022,Rakib,Chen,rakib.chen1@gmail.com,03/06/2022,BD,bronze
C0023,Carlos,Novak,carlos.novak2@yahoo.com,15-03-2025,CA,
C0024,Tom,Lopez,tom.lopez3@outlook.com,05/17/2024,,gold
C0025,Tom,Khan,tom.khan4@corp.com,2023-11-26,BD,Gold
C0026,Elena,Smith,elena.smith5@outlook.com,2024-08-05,US,
C0027,Zoe,Islam,zoe.islam6@gmail.com,2025-01-12,BD,silver
C0028,Mei,Chen,mei.chen0@corp.com,2022-05-01,CA,bronze
C0029,Noah,Ahmed,noah.ahmed1@corp.com,12-02-2025,BD,silver
C0030,Rakib,Silva,rakib.silva2@gmail.com,2023-10-05,CA,Gold
C0031,Ibrahim,Smith,ibrahim.smith3@gmail.com,2024-11-06,US,Gold
C0032,Nina,Lopez,nina.lopez4@gmail.com,2025-03-12,US,Gold
C0033,Hassan,Silva,hassan.silva5@outlook.com,2023-06-19,UK,silver
C0034,,Ahmed,wei.ahmed6@corp.com,2023-10-10,AE,Gold
C0035,Sara,Novak,sara.novak0@yahoo.com,11/02/2024,UK,gold
C0036,Priya,Ahmed,priya.ahmed1@yahoo.com,16-06-2024,AE,Gold
C0036,Priya,Ahmed,priya.ahmed1@yahoo.com,16-06-2024,AE,gold
C0037,Zoe,Ahmed,zoe.ahmed2@gmail.com,10/03/2022,US,Gold
C0038,Grace,Silva,grace.silva3@yahoo.com,2023-12-04,UK,Gold
C0039,,Islam,rakib.islam4@corp.com,2023-07-21,BD,bronze
C0040,Noah,Novak,noah.novak5@corp.com,2025-02-22,,silver
C0041,Priya,Silva,priya.silva6@yahoo.com,2024-05-30,UK,gold
C0042,Carlos,Chen,carlos.chen0@gmail.com,26-12-2023,CA,Gold
C0043,Nina,Smith,nina.smith1@yahoo.com,2024-04-24,UK,
C0044,Nina,Ahmed,nina.ahmed2@yahoo.com,08/10/2022,CA,silver
C0045,,Garcia,noah.garcia3@outlook.com,2023-04-12,BD,
C0046,Sara,Ahmed,sara.ahmed4@outlook.com,11/09/2024,AE,bronze
C0047,Tom,Ahmed,tom.ahmed5@yahoo.com,04/04/2025,AE,
C0048,Liam,Lopez,liam.lopez6@gmail.com,28-02-2024,US,
